player,position,nation,acquisition_fee_usd_m,acquired_from,acquisition_season,status_2023_24,career_total_apps,career_total_goals
Cabral,Striker (C),Brazil,21.5,Fiorentina,2023/24,First season at Benfica,192,84
Florentino,Defensive Midfielder,Portugal,0,Benfica Academy,,Established starter (homegrown),182,3
Rollheiser,Attacking Midfielder (R/L/C),Argentina,10.25,Estudiantes,2024/25 (permanent; on loan 2023/24),On loan at Benfica from Estudiantes,101,9
Aguirre,Defender (R)/D(L)/M(R),Argentina,8,Lanus,2023/24,First season at Benfica,115,5
Jurasek,Defender (L)/WB(L),Czechia,15,Slavia Prague,2023/24,Signed by Benfica then loaned to TSG Hoffenheim,112,9
Dantas,Defensive Midfielder/AM(C),Portugal,0,Benfica Academy,,On loan at AZ (Eredivisie),142,10
Kokcu,Midfielder/AM(C)/DM,,27,Feyenoord,2023/24,First season at Benfica,143,26
Gouveia,Attacking Midfielder (R/L),Portugal,0,Sporting CP (free youth transfer),2017/18,Established squad player,102,22
Morato,Defender (C)/D(L),Brazil,6.75,Brazilian club (via Benfica B pathway),2019/20,First-team regular,96,11
Trubin,Goalkeeper,Ukraine,10.75,Shakhtar Donetsk,2023/24,"First season at Benfica; 19 clean sheets, 18 goals allowed in 30 league apps",97,0
H. Araujo,Striker (C),Portugal,0,MRT (free youth transfer),2018/19,"On loan at Famalicao; 15 goals in 24 competitive apps",101,47
Bernardo,Midfielder (C),Portugal,0,Benfica Academy,,On loan at Celtic (Scotland),70,9
R. Rodrigues,Defender (L)/WB(M/L),Portugal,0,Benfica Academy (nominal loan fee $4.5K),,On loan at MRT (Portugal 2nd tier),72,1
T. Araujo,Defender (C),Portugal,0,Benfica Academy,,Squad rotation center-back at Benfica,100,3
Leonardo,Striker (C)/AM(L),Brazil,19.25,Santos,2023/24,First season at Benfica; primarily used off the bench (11 starts/23 sub apps),126,42
Silva,Defender (C),Portugal,0,Benfica Academy,,Homegrown starting center-back,61,4
Schjelderup,Attacking Midfielder (L)/M(L)/ST(C),Norway,9.75,FC Nordsjaelland,2022/23,"On loan back at Nordsjaelland; 6 goals, 7 assists, 8 POM in 30 apps",80,22
Neves,Defensive Midfielder/AM(C),Portugal,0,Benfica Academy,,Homegrown starting midfielder,57,2
